11/05/2022 at 08:44:19 | INFO | __main__ | Get stock market tickers for NYSE exchange
11/05/2022 at 08:44:20 | INFO | __main__ | Extracted tickers from http://eoddata.com/stocklist/NYSE/A.htm for NYSE exchange
11/05/2022 at 08:44:21 | INFO | __main__ | Extracted tickers from http://eoddata.com/stocklist/NYSE/B.htm for NYSE exchange
11/05/2022 at 08:44:22 | INFO | __main__ | Extracted tickers from http://eoddata.com/stocklist/NYSE/C.htm for NYSE exchange
11/05/2022 at 08:44:22 | INFO | __main__ | Extracted tickers from http://eoddata.com/stocklist/NYSE/D.htm for NYSE exchange
11/05/2022 at 08:44:24 | INFO | __main__ | Extracted tickers from http://eoddata.com/stocklist/NYSE/E.htm for NYSE exchange
11/05/2022 at 08:44:25 | INFO | __main__ | Extracted tickers from http://eoddata.com/stocklist/NYSE/F.htm for NYSE exchange
11/05/2022 at 08:44:26 | INFO | __main__ | Extracted tickers from http://eoddata.com/stocklist/NYSE/G.htm for NYSE exchange
11/05/2022 at 08:44:27 | INFO | __main__ | Extracted tickers from http://eoddata.com/stocklist/NYSE/H.htm for NYSE exchange
11/05/2022 at 08:44:27 | INFO | __main__ | Extracted tickers from http://eoddata.com/stocklist/NYSE/I.htm for NYSE exchange
11/05/2022 at 08:44:28 | INFO | __main__ | Extracted tickers from http://eoddata.com/stocklist/NYSE/J.htm for NYSE exchange
11/05/2022 at 08:44:29 | INFO | __main__ | Extracted tickers from http://eoddata.com/stocklist/NYSE/K.htm for NYSE exchange
11/05/2022 at 08:44:29 | INFO | __main__ | Extracted tickers from http://eoddata.com/stocklist/NYSE/L.htm for NYSE exchange
11/05/2022 at 08:44:30 | INFO | __main__ | Extracted tickers from http://eoddata.com/stocklist/NYSE/M.htm for NYSE exchange
11/05/2022 at 08:44:31 | INFO | __main__ | Extracted tickers from http://eoddata.com/stocklist/NYSE/N.htm for NYSE exchange
11/05/2022 at 08:44:31 | INFO | __main__ | Extracted tickers from http://eoddata.com/stocklist/NYSE/O.htm for NYSE exchange
