11/15/2022 at 22:04:13 | INFO | marketdata.financialdata.tickers | [+] Begin extracting company information:
11/15/2022 at 22:04:13 | INFO | marketdata.financialdata.tickers | Get stock market tickers for NYSE exchange
11/15/2022 at 22:04:14 | INFO | marketdata.financialdata.tickers | Extracted tickers from http://eoddata.com/stocklist/NYSE/A.htm for NYSE exchange
11/15/2022 at 22:04:15 | INFO | marketdata.financialdata.tickers | Extracted tickers from http://eoddata.com/stocklist/NYSE/B.htm for NYSE exchange
11/15/2022 at 22:04:16 | INFO | marketdata.financialdata.tickers | Extracted tickers from http://eoddata.com/stocklist/NYSE/C.htm for NYSE exchange
11/15/2022 at 22:04:17 | INFO | marketdata.financialdata.tickers | Extracted tickers from http://eoddata.com/stocklist/NYSE/D.htm for NYSE exchange
11/15/2022 at 22:04:17 | INFO | marketdata.financialdata.tickers | Extracted tickers from http://eoddata.com/stocklist/NYSE/E.htm for NYSE exchange
11/15/2022 at 22:04:18 | INFO | marketdata.financialdata.tickers | Extracted tickers from http://eoddata.com/stocklist/NYSE/F.htm for NYSE exchange
11/15/2022 at 22:04:20 | INFO | marketdata.financialdata.tickers | Extracted tickers from http://eoddata.com/stocklist/NYSE/G.htm for NYSE exchange
11/15/2022 at 22:04:21 | INFO | marketdata.financialdata.tickers | Extracted tickers from http://eoddata.com/stocklist/NYSE/H.htm for NYSE exchange
11/15/2022 at 22:04:21 | INFO | marketdata.financialdata.tickers | Extracted tickers from http://eoddata.com/stocklist/NYSE/I.htm for NYSE exchange
11/15/2022 at 22:04:22 | INFO | marketdata.financialdata.tickers | Extracted tickers from http://eoddata.com/stocklist/NYSE/J.htm for NYSE exchange
11/15/2022 at 22:04:23 | INFO | marketdata.financialdata.tickers | Extracted tickers from http://eoddata.com/stocklist/NYSE/K.htm for NYSE exchange
11/15/2022 at 22:04:23 | INFO | marketdata.financialdata.tickers | Extracted tickers from http://eoddata.com/stocklist/NYSE/L.htm for NYSE exchange
11/15/2022 at 22:04:24 | INFO | marketdata.financialdata.tickers | Extracted tickers from http://eoddata.com/stocklist/NYSE/M.htm for NYSE exchange
11/15/2022 at 22:04:25 | INFO | marketdata.financialdata.tickers | Extracted tickers from http://eoddata.com/stocklist/NYSE/N.htm for NYSE exchange
11/15/2022 at 22:04:26 | INFO | marketdata.financialdata.tickers | Extracted tickers from http://eoddata.com/stocklist/NYSE/O.htm for NYSE exchange
11/15/2022 at 22:04:27 | INFO | marketdata.financialdata.tickers | Extracted tickers from http://eoddata.com/stocklist/NYSE/P.htm for NYSE exchange
11/15/2022 at 22:04:27 | INFO | marketdata.financialdata.tickers | Extracted tickers from http://eoddata.com/stocklist/NYSE/Q.htm for NYSE exchange
11/15/2022 at 22:04:28 | INFO | marketdata.financialdata.tickers | Extracted tickers from http://eoddata.com/stocklist/NYSE/R.htm for NYSE exchange
11/15/2022 at 22:04:29 | INFO | marketdata.financialdata.tickers | Extracted tickers from http://eoddata.com/stocklist/NYSE/S.htm for NYSE exchange
11/15/2022 at 22:04:30 | INFO | marketdata.financialdata.tickers | Extracted tickers from http://eoddata.com/stocklist/NYSE/T.htm for NYSE exchange
11/15/2022 at 22:04:30 | INFO | marketdata.financialdata.tickers | Extracted tickers from http://eoddata.com/stocklist/NYSE/U.htm for NYSE exchange
11/15/2022 at 22:04:31 | INFO | marketdata.financialdata.tickers | Extracted tickers from http://eoddata.com/stocklist/NYSE/V.htm for NYSE exchange
11/15/2022 at 22:04:32 | INFO | marketdata.financialdata.tickers | Extracted tickers from http://eoddata.com/stocklist/NYSE/W.htm for NYSE exchange
11/15/2022 at 22:04:32 | INFO | marketdata.financialdata.tickers | Extracted tickers from http://eoddata.com/stocklist/NYSE/X.htm for NYSE exchange
11/15/2022 at 22:04:33 | INFO | marketdata.financialdata.tickers | Extracted tickers from http://eoddata.com/stocklist/NYSE/Y.htm for NYSE exchange
